site_id,country,site_name,biome,network,availability_tier,priority,institution,pi_name,pi_known,institution_pi_raw,data_access,contact_route,request_scope,source_url
BR-BNT,Brazil,BIONTE Manaus terra-firme forest,Evergreen Broadleaf Forest,AmeriFlux,2,P1,Lawrence Berkeley National Laboratory,Negron-Juarez Robinson,yes,Lawrence Berkeley National Laboratory / Negron-Juarez Robinson,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-BNT) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2023–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-BNT
BR-CMT,Brazil,Capuaba farm cropland (Mato Grosso),Cropland,AmeriFlux,2,P1,University of British Columbia,Mark Johnson,yes,University of British Columbia / Mark Johnson,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-CMT) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2015–2019; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-CMT
BR-CUP,Brazil,"Cupari, Tapajos National Forest",Deciduous Broadleaf Forest,AmeriFlux,2,P1,University of Arizona,Scott Saleska,yes,University of Arizona / Scott Saleska,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-CUP) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2024–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-CUP
BR-Cui,Brazil,Braganca Amazonian mangrove,Mangrove wetland,AmeriFlux,2,P1,LBA,Isabel Vitorino,yes,LBA / Isabel Vitorino,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-Cui) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2015–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-Cui
BR-IAB,Brazil,Instituto Arruda Botelho wooded cerrado,Woody savanna (cerrado),AmeriFlux,2,P1,"São Carlos School of Engineering, University of São Paulo",Edson Wendland,yes,"São Carlos School of Engineering, University of São Paulo / Edson Wendland",AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-IAB) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2018–2021; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-IAB
BR-Moj,Brazil,Moju oil-palm plantation (PA),Oil-palm plantation,AmeriFlux,2,P1,Brazilian Agricultural Research Corporation (Embrapa Eastern Amazon),Alessandro Araujo,yes,Brazilian Agricultural Research Corporation (Embrapa Eastern Amazon) / Alessandro Araujo,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-Moj) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2015–2022; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-Moj
BR-PRS,Brazil,Paraiso do Sul cropland,Cropland,AmeriFlux,2,P1,Universidade Federal de Santa Maria (UFSM),Débora Roberti,yes,Universidade Federal de Santa Maria (UFSM) / Débora Roberti,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-PRS) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2003–2004; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-PRS
BR-SGC,Brazil,Sao Gabriel da Cachoeira (Pico da Neblina),Evergreen Broadleaf Forest,AmeriFlux,2,P1,Brazilian Agricultural Research Corporation (Embrapa Eastern Amazon),Alessandro Araujo,yes,Brazilian Agricultural Research Corporation (Embrapa Eastern Amazon) / Alessandro Araujo,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SGC) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2004–2010; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-SGC
BR-SM2,Brazil,Pedras Altas grassland,Grassland,AmeriFlux,2,P1,Universidade Federal de Santa Maria,Debora Regina Roberti,yes,Universidade Federal de Santa Maria / Debora Regina Roberti,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SM2) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2015–2016; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-SM2
BR-SM3,Brazil,Santa Maria grassland,Grassland,AmeriFlux,2,P1,Universidade Federal de Santa Maria,Debora Regina Roberti,yes,Universidade Federal de Santa Maria / Debora Regina Roberti,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SM3) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2015–2015; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-SM3
