site_id,country,site_name,priority,pi_name,contact_route,status,first_contacted,last_contacted,response_status,data_shared,agreement,followup_due,owner,notes
BR-BNT,Brazil,BIONTE Manaus terra-firme forest,P1,Negron-Juarez Robinson,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-BNT) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-CMT,Brazil,Capuaba farm cropland (Mato Grosso),P1,Mark Johnson,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-CMT) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-CUP,Brazil,"Cupari, Tapajos National Forest",P1,Scott Saleska,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-CUP) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-Cui,Brazil,Braganca Amazonian mangrove,P1,Isabel Vitorino,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-Cui) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-IAB,Brazil,Instituto Arruda Botelho wooded cerrado,P1,Edson Wendland,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-IAB) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-Moj,Brazil,Moju oil-palm plantation (PA),P1,Alessandro Araujo,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-Moj) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-PRS,Brazil,Paraiso do Sul cropland,P1,Débora Roberti,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-PRS) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-SGC,Brazil,Sao Gabriel da Cachoeira (Pico da Neblina),P1,Alessandro Araujo,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SGC) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-SM2,Brazil,Pedras Altas grassland,P1,Debora Regina Roberti,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SM2) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-SM3,Brazil,Santa Maria grassland,P1,Debora Regina Roberti,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SM3) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
BR-SP1,Brazil,Southern Pantanal Wetland,P1,Thiago Rangel Rodrigues,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SP1) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
CL-FJS,Chile,Fray Jorge shrubland,P1,Alejandra Troncoso,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/CL-FJS) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
CL-OPP,Chile,Omora Park Peatland (Cape Horn),P1,Jorge Perez-Quezada,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/CL-OPP) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
CL-Poqui,Chile,Cerro Poqui (Nothofagus mediterranean),P1,Perez-Quezada,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
CO-Carimagua,Colombia,Carimagua/Taluma Orinoco savanna,P1,Jimenez,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
