# South American eddy-covariance CO2-flux tower registry
# ------------------------------------------------------
# Curated inventory of eddy-covariance (EC) towers that measure turbulent CO2
# exchange (NEE -> GPP/Reco) across South America. Built from a structured
# literature/network review (see README "Regional flux inventory"); it is the
# backbone for (a) the open-data harvester, (b) Phase-2 data-request outreach,
# and (c) the continental representativeness analysis.
#
# STRICT SCOPE: only EC towers measuring CO2 flux. Energy/water-only towers and
# biometric / forest-inventory plot networks (GEM, RAINFOR, ForestPlots) are NOT
# here -- stock programs live in south_america_carbon_stock_programs.csv.
#
# Columns:
#   site_id            AmeriFlux/FLUXNET code, or a provisional id (no public code yet)
#   country            country / territory
#   site_name          common site name
#   lat, lon           decimal degrees (blank = unknown; see coord_note)
#   biome              ecosystem / biome label
#   igbp               IGBP class if known
#   network            AmeriFlux | FLUXNET2015 | ICOS | LBA | AndesFlux | SulFlux | none
#   year_start, year_end  operation span if known
#   measures_co2       yes | no | ambiguous   (filter: keep "yes" for carbon work)
#   availability_tier  1=open/archived  2=published-not-archived  3=national/private
#   data_access        how the data are obtained
#   institution_pi     operator / principal investigator
#   confidence         high | medium | low  (overall record confidence)
#   coord_note         exact | approx | unknown
#   source_url         primary source
site_id,country,site_name,lat,lon,biome,igbp,network,year_start,year_end,measures_co2,availability_tier,data_access,institution_pi,confidence,coord_note,source_url
AR-CCg,Argentina,Carlos Casares grassland,-35.9244,-61.1855,Grassland,GRA,AmeriFlux,2018,2024,yes,1,AmeriFlux download,INTA / G. Posse,high,exact,https://ameriflux.lbl.gov/sites/siteinfo/AR-CCg
AR-CCa,Argentina,Carlos Casares agriculture,-35.6170,-61.3170,Cropland,CRO,AmeriFlux,2018,2021,yes,1,AmeriFlux BASE + FLUXNET-1F,INTA / G. Posse,medium,approx,https://ameriflux.lbl.gov/sites/siteinfo/AR-CCa
AR-TF1,Argentina,Rio Moat bog,-54.9733,-66.7335,Wetland,WET,AmeriFlux,2016,2018,yes,1,AmeriFlux download,Argentine-German collaboration,high,exact,https://bg.copernicus.org/articles/16/3397/2019/
AR-TF2,Argentina,Rio Pipo bog,-54.8269,-68.4549,Wetland,WET,AmeriFlux,2016,2018,yes,1,AmeriFlux + FLUXNET DOI,Argentine-German collaboration,high,exact,https://ameriflux.lbl.gov/doi/FLUXNET/AR-TF2/
AR-SLu,Argentina,San Luis dry forest,-33.4648,-66.4598,Woody savanna,WSA,FLUXNET2015,,2014,yes,1,FLUXNET2015 + AmeriFlux,INTA + CONICET / Jobbagy-Nosetto,high,approx,https://www.osti.gov/dataexplorer/biblio/1440191
AR-Vir,Argentina,Virasoro,-28.2390,-56.0190,Grassland/pasture,GRA,FLUXNET2015,2009,2012,yes,1,FLUXNET2015 (DOI 10.18140/FLX/1440192),INTA / Posse-Lewczuk-Richter,medium,approx,https://www.osti.gov/dataexplorer/biblio/dataset/1440192
AR-Rom,Argentina,Romano salt marsh (Mar Chiquita),-37.7560,-57.4270,Salt marsh / wetland,WET,AmeriFlux,2014,2018,yes,1,AmeriFlux BASE,UBA-FCEN / Gassmann-Tonti,medium,approx,https://www.osti.gov/biblio/2315765
AR-Cel,Argentina,CELPA salt marsh (Mar Chiquita),-37.7600,-57.4300,Salt marsh / wetland,WET,AmeriFlux,,,yes,1,AmeriFlux / OSTI dataset,UBA-FCEN / Gassmann-Tonti,medium,approx,https://www.osti.gov/dataexplorer/biblio/dataset/2204054
AR-Bal,Argentina,Balcarce soybean,-37.7630,-58.2970,Cropland,CRO,AmeriFlux,,,yes,1,AmeriFlux + FLUXNET-1F,INTA Balcarce,medium,approx,https://www.osti.gov/biblio/2571144
AR-RioMayo,Argentina,Rio Mayo Patagonian steppe,-45.4000,-70.3000,Shrub-grass steppe,OSH,none,2015,2018,yes,2,Request to PI (literature only),INTA Rio Mayo,high,approx,https://www.sciencedirect.com/science/article/abs/pii/S0168192324002971
CL-SDF,Chile,Senda Darwin Forest,-41.8830,-73.6760,Evergreen Broadleaf Forest,EBF,AmeriFlux,2014,2021,yes,1,AmeriFlux download,U. de Chile / PUC / Perez-Quezada-Armesto,high,exact,https://ameriflux.lbl.gov/sites/siteinfo/CL-SDF
CL-SDP,Chile,Senda Darwin Peatland,-41.8790,-73.6660,Wetland,WET,AmeriFlux,2014,2021,yes,1,AmeriFlux download,U. de Chile / PUC / Perez-Quezada,high,exact,https://ameriflux.lbl.gov/sites/siteinfo/CL-SDP
CL-ACF,Chile,Alerce Costero Forest,-40.1726,-73.4439,Evergreen Needleleaf Forest,ENF,AmeriFlux,2018,2020,yes,1,AmeriFlux download,UACh + U. de Chile / Lara-Perez-Quezada,high,exact,https://ameriflux.lbl.gov/sites/siteinfo/CL-ACF
CL-Poqui,Chile,Cerro Poqui (Nothofagus mediterranean),-34.2000,-71.0000,Mediterranean deciduous forest,DBF,none,2024,,yes,2,Request to PI (new; metadata pending),U. de Chile / Perez-Quezada,medium,approx,https://fluxnet.org/2026/02/10/exploring-the-diverse-ecosystems-of-chile-katie-bosserts-fluxnet-secondment-experience/
CL-AcaciaSav,Chile,Central Chile Acacia caven savanna,-33.4000,-70.5000,Mediterranean savanna,SAV,none,2011,2012,yes,3,Request to authors (historic),U. de Chile / Perez-Quezada,low,approx,https://www.nature.com/articles/s41598-018-26934-z
PE-QFR,Peru,Quistococha Forest Reserve,-3.8340,-73.3190,Peatland (palm swamp),WET,AmeriFlux,2017,,yes,1,AmeriFlux + FLUXNET-1F (OSTI 1832157),U. Minnesota Griffis + IIAP,high,exact,https://ameriflux.lbl.gov/sites/siteinfo/PE-QFR
PE-TNR,Peru,Tambopata ECOTOWER,-12.8320,-69.2810,Tropical forest,EBF,AndesFlux,2016,,yes,2,Registered AmeriFlux; data on request,PUCP / Cosio + Penn State,high,approx,https://ameriflux.lbl.gov/sites/siteinfo/PE-TNR
PE-PAN,Peru,Panguana,-9.6200,-74.9300,Lowland rainforest,EBF,AndesFlux,,,yes,3,Request to PI,PUCP / BayCEER,medium,approx,https://www.bayceer.uni-bayreuth.de/meteo/en/aktuelles/news/detail.php?id_obj=173776
PE-AMG,Peru,Los Amigos (CICRA),-12.5700,-70.1000,Amazon forest mosaic,EBF,AndesFlux,,,yes,3,Registered AmeriFlux; data on request,PUCP,medium,approx,https://ameriflux.lbl.gov/sites/siteinfo/PE-AMG
PE-BRE,Peru,El Breo,-7.4000,-77.0000,Conservation-concession forest,EBF,AndesFlux,,,yes,3,Request to PI,PUCP,low,unknown,https://inte.pucp.edu.pe/en/investigacion/proyectos-de-investigacion/andesflux-red-de-torres-de-monitoreo-de-flujos-de-carbono-agua-y-energia-en-la-amazonia-occidental/
EC-Zhu,Ecuador,Zhurucay paramo,-3.0600,-79.2400,Paramo grassland/wetland,GRA,none,2015,2018,yes,2,Request to PI; published,U. de Cuenca / Carrillo-Rojas-Crespo,high,approx,https://www.sciencedirect.com/science/article/abs/pii/S0168192318303526
EC-SanFrancisco,Ecuador,RBSF / ECSF montane cloud forest,-3.9800,-79.0800,Montane cloud forest,EBF,none,2024,,yes,2,Request to PI; published,U. de Cuenca + U. Marburg,high,approx,https://doi.org/10.3390/f15101828
EC-Antisana,Ecuador,Antisana FTEC,-0.5000,-78.2000,High paramo,GRA,none,2019,,yes,3,Request to operator,EPN + EPMAPS/FONAG,medium,approx,https://ecap.org.ec/medicion-de-flujos-de-energia-co2-y-vapor-agua-en-antisana/
EC-Laipuna,Ecuador,Laipuna dry forest,-4.3700,-79.9000,Seasonally dry Tumbesian forest,DBF,none,2022,2025,yes,2,Request to PI; EGU abstracts,U. Marburg + Ecuadorian universities,medium,approx,https://meetingorganizer.copernicus.org/EGU25/EGU25-14652.html
CO-GV1,Colombia,Guaviare,2.0000,-72.5000,Amazon/Orinoco transition,,AmeriFlux,,,ambiguous,2,Registered AmeriFlux; not openly downloadable,unknown,low,unknown,https://ameriflux.lbl.gov/sites/siteinfo/CO-GV1
CO-Carimagua,Colombia,Carimagua/Taluma Orinoco savanna,4.5700,-71.3300,Neotropical savanna,WSA,none,,,yes,2,Published (Frontiers 2021); request,UNAL / Jimenez + AGROSAVIA,high,approx,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2021.673932/full
CO-EcoProMIS,Colombia,EcoProMIS rice & oil-palm towers (x4),,,Cropland (rice) / oil palm,CRO,none,2017,2020,yes,3,Proprietary (request consortium),Rothamsted + Agricompas + CIAT,high,unknown,https://www.ecopromis.com/why-the-eddy-covariance-technique-is-an-ally-in-the-search-of-sustainable-agriculture/
CO-Cenipalma,Colombia,Cenipalma/CIAT oil palm,,,Oil palm,,none,2013,,yes,3,Proprietary (request),Cenipalma + CIAT,medium,unknown,https://www.researchgate.net/publication/340846647
CO-Potato,Colombia,Subachoque high-Andean potato,4.8890,-74.1870,High-Andean cropland,CRO,none,2022,2024,yes,2,Published; request,UNAL,high,approx,https://link.springer.com/article/10.1007/s00704-024-05034-1
GF-Guy,French Guiana,Guyaflux (Paracou),5.2790,-52.9250,Tropical rainforest,EBF,ICOS,2004,,yes,1,ICOS Carbon Portal + FLUXNET2015 (open),CIRAD/INRAE / Bonal-Burban,high,exact,https://meta.icos-cp.eu/resources/stations/ES_GF-Guy
GF-Nouragues,French Guiana,Nouragues (Nourflux),4.0800,-52.6800,Tropical rainforest,EBF,none,2014,,yes,2,Published; request,INRAE / EcoFoG,high,approx,https://sno-ifa.aeris-data.fr/en/guy/
VE-Orinoco,Venezuela,Orinoco savanna/pasture (Calabozo area),8.9000,-67.4000,Savanna,SAV,none,1993,2014,ambiguous,2,Published (EC vs Bowen-ratio unclear),IVIC + USB,low,approx,http://ps.ueb.cas.cz/artkey/phs-201403-0005.php
UY-Estanzuela,Uruguay,INIA La Estanzuela cropland (ET-only),-34.3000,-57.7000,Cropland,CRO,none,2010,2015,no,2,ET/energy only -- NOT a CO2 site (documented gap),INIA Uruguay,medium,approx,http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2730-50662021000301306
BR-Sa1,Brazil,Santarem Tapajos km67 primary forest,-2.8567,-54.9588,Evergreen Broadleaf Forest,EBF,LBA,2002,2011,yes,1,AmeriFlux/FLUXNET + ORNL DAAC,Harvard / LBA-ECO,high,approx,https://ameriflux.lbl.gov/sites/siteinfo/BR-Sa1
BR-Sa3,Brazil,Santarem Tapajos km83 logged forest,-3.0180,-54.9714,Evergreen Broadleaf Forest,EBF,LBA,2000,2004,yes,1,AmeriFlux/FLUXNET + ORNL DAAC,LBA-ECO,high,approx,https://fluxnet.org/sites/siteinfo/BR-Sa3
